active_time	online_time	num_message	ave_message	ave_time_inter	median_time_inter	ave_message_reply	num_platform	num_short_time_inter	num_receiver_age	num_reply_message	num_reply_user	num_user_to	reply_percent	periodic_pvalue	cluster
20320	20320	1630	10	12.4739103744629	0	10	1	1466	1	1630	163	163	1	4.61401179729926e-06	4
20349	20349	1630	10	12.4917127071823	0	10	1	1466	1	1630	163	163	1	2.07123686666311e-05	4
20325	20325	1630	10	12.4769797421731	0	10	1	1467	1	1630	163	163	1	9.41082509309243e-06	4
20315	20315	1630	10	12.4708410067526	0	10.0306748466258	1	1466	1	1635	163	163	1	4.70705738719879e-06	4
20384	20384	1625	9.96932515337423	12.551724137931	0	10	1	1463	1	1630	163	163	1	4.85086526724743e-07	4
20304	20304	1630	10	12.4640883977901	0	10	1	1467	1	1630	163	163	1	1.41085006588604e-06	4
20337	20337	1630	10	12.4843462246777	0	9.99386503067485	1	1466	1	1629	163	163	1	1.97717370666872e-05	4
20297	20297	1630	10	12.4597912829957	0	9.96932515337423	1	1466	1	1625	163	163	1	2.80956827136691e-07	4
20376	20376	1625	9.96932515337423	12.5467980295566	0	9.96932515337423	1	1462	1	1625	163	163	1	5.3176525405263e-08	4
20382	20382	1625	9.96932515337423	12.5504926108374	0	9.96932515337423	1	1462	1	1625	163	163	1	3.54663893631368e-06	4
20306	20306	1630	10	12.4653161448742	0	10	1	1466	1	1630	163	163	1	5.53491667310002e-06	4
20311	20311	1630	10	12.4683855125844	0	10	1	1465	1	1630	163	163	1	8.17648919881897e-06	4
20384	20384	1625	9.96932515337423	12.551724137931	0	9.96932515337423	1	1462	1	1625	163	163	1	4.81779534289295e-06	4
20307	20307	1630	10	12.4659300184162	0	10	1	1466	1	1630	163	163	1	6.29102213245414e-06	4
20394	20394	1625	9.96932515337423	12.557881773399	0	9.96932515337423	1	1461	1	1625	163	163	1	1.04460807051066e-05	4
20295	20295	1630	10	12.4585635359116	0	10	1	1466	1	1630	163	163	1	1.27138201611032e-06	4
20381	20381	1625	9.96932515337423	12.5498768472906	0	9.96932515337423	1	1461	1	1625	163	163	1	4.67095400569217e-06	4
20345	20345	1635	10.0306748466258	12.4510403916769	0	10	1	1472	1	1630	163	163	1	6.55197148010656e-05	4
20312	20312	1630	10	12.4689993861265	0	10	1	1467	1	1630	163	163	1	1.02623432853832e-05	4
20385	20385	1625	9.96932515337423	12.5523399014778	0	9.96932515337423	1	1463	1	1625	163	163	1	8.04903994344741e-06	4
20299	20299	1630	10	12.4610190300798	0	10	1	1466	1	1630	163	163	1	5.31616261578716e-06	4
20386	20386	1625	9.96932515337423	12.5529556650246	0	10	1	1463	1	1630	163	163	1	9.07610579103935e-06	4
20378	20378	1625	9.96932515337423	12.5480295566502	0	9.96932515337423	1	1462	1	1625	163	163	1	5.54387095175191e-06	4
20379	20379	1630	10	12.5101289134438	0	10	1	1466	1	1630	163	163	1	4.58060923665959e-05	4
20289	20289	1630	10	12.4548802946593	0	10	1	1467	1	1630	163	163	1	1.69189918874935e-06	4
20320	20320	1630	10	12.4739103744629	0	10	1	1466	1	1630	163	163	1	1.72232717885468e-05	4
20311	20311	1630	10	12.4683855125844	0	10	1	1467	1	1630	163	163	1	1.339878335338e-05	4
20299	20299	1630	10	12.4610190300798	0	9.96932515337423	1	1467	1	1625	163	163	1	7.82170464130871e-06	4
20283	20283	1630	10	12.451197053407	0	10	1	1466	1	1630	163	163	1	1.16658236737344e-07	4
20320	20320	1630	10	12.4739103744629	0	10.0613496932515	1	1467	1	1640	163	163	1	1.93328703231854e-05	4
20319	20319	1630	10	12.4732965009208	0	10	1	1466	1	1630	163	163	1	1.88892306215438e-05	4
20282	20282	1630	10	12.4505831798649	0	10	1	1466	1	1630	163	163	1	8.09036920013106e-07	4
20376	20376	1625	9.96932515337423	12.5467980295566	0	9.96932515337423	1	1462	1	1625	163	163	1	9.13147004866222e-06	4
20382	20382	1625	9.96932515337423	12.5504926108374	0	9.96932515337423	1	1462	1	1625	163	163	1	1.23907696307768e-05	4
20377	20377	1630	10	12.5089011663597	0	10	1	1466	1	1630	163	163	1	4.94583361974055e-05	4
20290	20290	1630	10	12.4554941682014	0	10	1	1467	1	1630	163	163	1	8.33505993380612e-06	4
20352	20352	1625	9.96932515337423	12.5320197044335	0	9.93865030674847	1	1463	1	1620	163	163	1	5.06820146961573e-08	4
20358	20358	1625	9.96932515337423	12.5357142857143	0	9.96932515337423	1	1461	1	1625	163	163	1	3.66038799004542e-06	4
20354	20354	1625	9.96932515337423	12.5332512315271	0	9.96932515337423	1	1463	1	1625	163	163	1	1.84048078266663e-06	4
20271	20271	1630	10	12.4438305709024	0	10	1	1466	1	1630	163	163	1	8.22468432915002e-07	4
20312	20312	1630	10	12.4689993861265	0	10	1	1466	1	1630	163	163	1	2.09723487389901e-05	4
20354	20354	1625	9.96932515337423	12.5332512315271	0	9.96932515337423	1	1461	1	1625	163	163	1	2.67607685244808e-06	4
20354	20354	1625	9.96932515337423	12.5332512315271	0	9.96932515337423	1	1462	1	1625	163	163	1	2.79258503965707e-06	4
20274	20274	1630	10	12.4456721915285	0	10	1	1467	1	1630	163	163	1	2.71895553305423e-06	4
20268	20268	1630	10	12.4419889502762	0	10	1	1466	1	1630	163	163	1	5.58859635013675e-07	4
20265	20265	1630	10	12.4401473296501	0	10	1	1466	1	1630	163	163	1	3.63748586806878e-09	4
20277	20277	1630	10	12.4475138121547	0	10	1	1466	1	1630	163	163	1	6.50697121074018e-06	4
20270	20270	1630	10	12.4432166973603	0	10	1	1467	1	1630	163	163	1	3.88813195850712e-06	4
20263	20263	1630	10	12.438919582566	0	10.0306748466258	1	1466	1	1635	163	163	1	4.58609059172943e-07	4
20277	20277	1630	10	12.4475138121547	0	10	1	1466	1	1630	163	163	1	7.41473410625915e-06	4
20264	20264	1630	10	12.439533456108	0	10	1	1467	1	1630	163	163	1	1.21898206584259e-06	4
20263	20263	1630	10	12.438919582566	0	10	1	1466	1	1630	163	163	1	7.83510361590523e-07	4
20273	20273	1630	10	12.4450583179865	0	10	1	1466	1	1630	163	163	1	5.71136275473449e-06	4
20341	20341	1625	9.96932515337423	12.5252463054187	0	10	1	1462	1	1630	163	163	1	1.90427681956429e-07	4
20263	20263	1630	10	12.438919582566	0	10	1	1466	1	1630	163	163	1	1.09102059087096e-06	4
20261	20261	1630	10	12.4376918354819	0	10	1	1467	1	1630	163	163	1	9.47617584290406e-07	4
20258	20258	1630	10	12.4358502148557	0	10	1	1466	1	1630	163	163	1	1.22451132233969e-07	4
20338	20338	1625	9.96932515337423	12.5233990147783	0	9.96932515337423	1	1462	1	1625	163	163	1	4.7472180897401e-07	4
20317	20317	1630	10	12.4720687538367	0	10	1	1466	1	1630	163	163	1	2.95561642845721e-05	4
