active_time	online_time	num_message	ave_message	ave_time_inter	median_time_inter	ave_message_reply	ratio_male_contact	most_used_platform	num_platform	num_short_time_inter	num_receiver_age	num_reply_message	num_reply_user	num_user_to	reply_percent	periodic_pvalue	userid_from	bot
20763	28248	109	1.94642857142857	261.555555555556	66.5	6.6	1	3	1	13	5	33	5	56	0.0892857142857143	0.990996156490666	121172	0
420	420	8	2.66666666666667	60	50	3	1	10	1	1	2	3	1	3	0.333333333333333	0.931746147091119	138923	0
10127	10127	21	21	506.35	102	16	1	3	1	3	1	16	1	1	1	0.999999917883216	85568	0
924	23241	12	12	2112.81818181818	25	5	1	3	1	2	1	5	1	1	1	0.974555868301461	82070	0
28666	28666	961	21.8409090909091	29.8604166666667	21	27.4210526315789	1	9	1	140	5	521	19	44	0.431818181818182	0.0181435660321869	35836	1
8256	8256	71	11.8333333333333	117.942857142857	44	8.66666666666667	1	3	1	8	5	52	6	6	1	0.86916783584945	37963	0
7288	17905	146	7.68421052631579	123.48275862069	27	16.875	1	3	1	17	3	135	8	19	0.421052631578947	1	84628	0
5928	25787	131	6.89473684210526	198.361538461538	32	14.6666666666667	1	3	1	25	4	88	6	19	0.315789473684211	1	50401	0
12459	28256	46	7.66666666666667	627.911111111111	8	7.5	1	9	1	24	4	45	6	6	1	0.999999761828256	23110	0
9733	20119	38	38	543.756756756757	22	35	1	7	2	5	1	35	1	1	1	0.999981035005579	127955	0
16828	16828	371	23.1875	45.4810810810811	22	49.25	0.153846153846154	1	1	77	4	394	8	16	0.5	0.913172183377854	97975	0
6436	22728	109	7.78571428571429	210.444444444444	42.5	8.66666666666667	1	3	1	6	4	52	6	14	0.428571428571429	1	47535	0
809	809	21	4.2	40.45	23.5	6.8	1	9	1	2	3	34	5	5	1	0.338894604325407	98779	0
5300	27224	81	10.125	340.3	39	11.75	1	1	1	2	5	94	8	8	1	0.99999999999998	91227	0
15464	28702	177	12.6428571428571	163.079545454545	19	14.7692307692308	1	3	1	39	5	192	13	14	0.928571428571429	0.999999999983022	138232	0
22502	22502	183	2.25925925925926	123.637362637363	53	11.3333333333333	1	4	1	24	5	68	6	81	0.0740740740740741	0.945078907495512	72460	1
28645	28645	281	31.2222222222222	102.303571428571	23	33.5	1	3	1	49	3	268	8	9	0.888888888888889	0.947304503951428	73360	0
16621	28787	70	7.77777777777778	417.202898550725	64	6.75	1	7	2	5	3	54	8	9	0.888888888888889	0.994518869642204	103466	0
11587	11587	102	51	114.722772277228	27	59.5	0.5	3	1	4	2	119	2	2	1	0.71288916075694	96524	0
2607	2607	25	2.5	108.625	39.5	4.33333333333333	1	3	1	4	3	13	3	10	0.3	0.983056576028752	139359	0
18798	18798	18	2.57142857142857	1105.76470588235	490	2.33333333333333	1	9	1	1	3	7	3	7	0.428571428571429	0.847066484332202	108037	0
8634	8634	237	4.30909090909091	36.5847457627119	17	16.875	1	3	1	64	6	135	8	55	0.145454545454545	0.988314437974157	63035	0
28720	28720	243	8.1	118.677685950413	36.5	28.2857142857143	1	3	1	23	2	198	7	30	0.233333333333333	0.00773642356783966	107062	1
8897	17130	50	4.16666666666667	349.591836734694	32	7.75	1	3	1	7	4	31	4	12	0.333333333333333	0.999941648317886	124948	0
11873	11873	61	12.2	197.883333333333	66.5	9	1	3	2	1	4	45	5	5	1	0.428216601200522	116202	0
5101	5101	100	25	51.5252525252525	35	33.3333333333333	0.25	3	1	7	2	100	3	4	0.75	0.089487327057178	45713	0
3211	3211	46	9.2	71.3555555555556	66	12.6666666666667	1	3	1	0	3	38	3	5	0.6	0.722156591585881	65747	0
17996	27062	62	2	443.639344262295	9	2.64516129032258	1	3	1	31	4	82	31	31	1	0.974660677523061	107839	0
4240	4240	48	4.8	90.2127659574468	54	17	1	3	1	1	5	34	2	10	0.2	0.994447843129325	122910	0
10049	28798	116	6.44444444444444	250.417391304348	27	7.38888888888889	1	3	1	17	2	133	18	18	1	0.998192804380804	121107	0
17443	17443	209	8.70833333333333	83.8605769230769	41	21.8571428571429	1	3	1	23	5	153	7	24	0.291666666666667	0.902753011409906	108167	0
1603	1603	92	18.4	17.6153846153846	14	19	1	3	1	26	3	95	5	5	1	0.357204158861849	115014	0
6808	6808	111	1.81967213114754	61.8909090909091	46	3.22222222222222	1	4	1	14	3	58	18	61	0.295081967213115	0.510981790805699	10872	0
9098	9098	272	11.8260869565217	33.5719557195572	14	11.9166666666667	1	4	1	96	5	143	12	23	0.521739130434783	0.379903254626866	6649	0
3771	14443	15	5	1031.64285714286	99.5	3.5	1	7	1	0	1	7	2	3	0.666666666666667	0.999979321992767	127340	0
10157	28792	103	5.72222222222222	282.274509803922	25	9	0.0555555555555556	9	1	29	3	63	7	18	0.388888888888889	0.991604875024447	98056	0
14649	26761	49	4.45454545454545	557.520833333333	20	5.5	1	3	1	15	4	22	4	11	0.363636363636364	0.91303823869517	19419	0
9389	28613	266	11.5652173913043	107.97358490566	24	16.9565217391304	0.956521739130435	1	1	29	7	390	23	23	1	1	119801	0
122	122	8	1.14285714285714	17.4285714285714	15	1	1	3	1	1	4	1	1	7	0.142857142857143	0.94654736887514	119717	0
28777	28777	775	4.42857142857143	37.1795865633075	16	5.98181818181818	1	9	1	224	6	329	55	175	0.314285714285714	0.998650735459041	26625	1
2010	2010	81	3.375	25.125	15	2.21739130434783	1	7	1	20	6	51	23	24	0.958333333333333	0.0566202139381998	132700	0
7836	23709	47	47	515.413043478261	44	13	1	3	1	4	1	13	1	1	1	0.999999999999998	83683	0
3111	3111	41	41	77.775	26	43	1	3	1	9	1	43	1	1	1	0.999475344384418	10844	0
10697	18337	195	11.4705882352941	94.520618556701	23	12.5294117647059	0.705882352941177	3	1	29	5	213	17	17	1	0.652414808503426	124403	0
5251	5251	48	5.33333333333333	111.723404255319	38	8.66666666666667	1	3	1	7	4	78	9	9	1	0.984747329192593	134319	0
